in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,1536,7168,91.34079813957214
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,1536,7168,91.34719967842102
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,1536,7168,89.29920196533203
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,1536,7168,89.9071991443634
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,1536,7168,110.18240451812744
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,1536,7168,108.95359516143799
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,7168,1536,152.37120389938354
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,7168,1536,167.53920316696167
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,7168,1536,103.62880229949951
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,7168,1536,107.71839618682861
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,7168,1536,93.094402551651
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,7168,1536,98.31039905548096
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,7168,1536,89.2799973487854
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,7168,1536,95.23199796676636
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,7168,1536,121.65119647979736
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,7168,1536,136.00000143051147
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,7168,1536,89.4976019859314
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,7168,1536,96.26240134239197
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,7168,1536,89.08799886703491
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,7168,1536,93.79839897155762
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,7168,1536,90.11200070381165
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,7168,1536,89.4976019859314
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,7168,1536,4096,153.19039821624756
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,7168,1536,4096,154.82879877090454
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,7168,1536,4096,103.21919918060303
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,7168,1536,4096,105.67679405212402
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,7168,1536,4096,95.23839950561523
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,7168,1536,4096,94.62400078773499
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,7168,1536,4096,91.09119772911072
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,7168,1536,4096,101.58079862594604
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,7168,1536,4096,133.52960348129272
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,7168,1536,4096,128.61440181732178
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,7168,1536,4096,90.12479782104492
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,7168,1536,4096,101.99040174484253
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,7168,1536,4096,97.48479723930359
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,7168,1536,4096,98.69440197944641
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,7168,1536,4096,98.71360063552856
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,7168,1536,4096,98.30399751663208
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,16384,512,148.69120121002197
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,16384,512,165.07519483566284
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,16384,512,97.48479723930359
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,16384,512,97.89440035820007
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,16384,512,88.0511999130249
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,16384,512,87.24480271339417
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,16384,512,82.7455997467041
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,16384,512,83.92959833145142
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,16384,512,107.32159614562988
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,16384,512,112.23679780960083
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,16384,512,81.08159899711609
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,16384,512,79.6671986579895
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,16384,512,74.54720139503479
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,16384,512,74.9567985534668
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,16384,512,73.31200242042542
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,16384,512,72.70399928092957
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,512,16384,134.75840091705322
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,512,16384,119.19360160827637
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,512,16384,82.12479948997498
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,512,16384,80.07680177688599
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,512,16384,98.30399751663208
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,512,16384,99.53280091285706
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,512,16384,73.10720086097717
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,512,16384,72.70399928092957
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,512,16384,96.25599980354309
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,512,16384,96.24959826469421
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,512,16384,72.28800058364868
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,512,16384,71.27040028572083
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,512,16384,96.66560292243958
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,512,16384,97.07520008087158
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,512,16384,118.78399848937988
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,512,16384,117.56160259246826
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,512,16384,4096,109.77280139923096
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,512,16384,4096,121.65759801864624
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,512,16384,4096,79.25119996070862
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,512,16384,4096,81.10079765319824
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,512,16384,4096,74.1375982761383
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,512,16384,4096,80.28159737586975
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,512,16384,4096,74.1375982761383
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,512,16384,4096,74.1375982761383
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,512,16384,4096,92.56960153579712
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,512,16384,4096,96.67199850082397
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,512,16384,4096,74.54079985618591
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,512,16384,4096,73.31200242042542
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,512,16384,4096,79.2639970779419
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,512,16384,4096,78.44480276107788
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,512,16384,4096,72.90880084037781
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,512,16384,4096,72.08960056304932
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,16384,1536,319.26400661468506
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,16384,1536,356.15360736846924
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,16384,1536,205.62560558319092
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,16384,1536,214.63680267333984
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,1,4096,16384,1536,185.13920307159424
fp16,fp32,fp16,,0,k,k,n,128,192,64,192,2,2,4096,16384,1536,194.96959447860718
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,1,4096,16384,1536,175.30879974365234
fp16,fp32,fp16,,0,k,k,n,128,256,64,256,2,2,4096,16384,1536,188.00640106201172
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,1,4096,16384,1536,260.915207862854
fp16,fp32,fp16,,0,k,k,n,256,64,128,64,2,2,4096,16384,1536,288.35840225219727
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,1,4096,16384,1536,178.5856008529663
fp16,fp32,fp16,,0,k,k,n,256,128,128,128,2,2,4096,16384,1536,188.0128026008606
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,1,4096,16384,1536,166.71359539031982
fp16,fp32,fp16,,0,k,k,n,256,192,128,192,2,2,4096,16384,1536,176.12799406051636
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,1,4096,16384,1536,164.24959897994995
fp16,fp32,fp16,,0,k,k,n,256,256,128,256,2,2,4096,16384,1536,178.17599773406982
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,1,4096,1536,16384,368.63999366760254
fp16,fp32,fp16,,0,k,k,n,128,64,64,64,2,2,4096,1536,16384,334.23359394073486
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,1,4096,1536,16384,234.6816062927246
fp16,fp32,fp16,,0,k,k,n,128,128,64,128,2,2,4096,1536,16384,219.9552059173584
