in_dtype,acc_dtype,out_dtype,sf_dtype,sf_vec_size,a_major,b_major,c_major,mma_m,mma_n,cta_m,cta_n,cluster_m,cluster_n,m,n,k,runtime_us
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,7168,1536,53.6575973033905
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,7168,1536,55.72479963302612
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,7168,1536,4096,56.518399715423584
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,7168,1536,4096,61.51040196418762
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,7168,1536,4096,43.21280121803284
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,7168,1536,4096,47.513601183891296
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,7168,1536,4096,43.21280121803284
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,7168,1536,4096,43.827199935913086
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,7168,1536,4096,43.41759979724884
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,7168,1536,4096,43.41759979724884
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,16384,512,79.05920147895813
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,16384,512,82.40000009536743
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,16384,512,68.87680292129517
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,16384,512,72.08960056304932
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,16384,512,72.08960056304932
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,16384,512,72.08960056304932
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,16384,512,73.52319955825806
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,16384,512,82.32319951057434
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,512,16384,40.95999896526337
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,512,16384,41.36959910392761
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,512,16384,30.105599761009216
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,512,16384,29.849600791931152
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,512,16384,35.22560000419617
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,512,16384,35.92959940433502
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,512,16384,40.35840034484863
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,512,16384,39.61600065231323
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,512,16384,4096,44.31999921798706
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,512,16384,4096,49.56800043582916
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,512,16384,4096,37.06879913806915
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,512,16384,4096,36.25600039958954
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,512,16384,4096,38.092800974845886
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,512,16384,4096,36.86400055885315
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,512,16384,4096,32.77440071105957
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,512,16384,4096,32.35839903354645
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,16384,1536,136.8127942085266
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,16384,1536,140.49919843673706
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,16384,1536,110.17600297927856
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,16384,1536,110.59199571609497
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,16384,1536,100.55040121078491
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,16384,1536,105.06240129470825
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,16384,1536,103.42400074005127
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,16384,1536,113.24800252914429
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,1536,16384,103.83360385894775
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,1536,16384,105.67679405212402
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,1536,16384,70.04160284996033
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,1536,16384,70.45120000839233
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,1536,16384,64.30720090866089
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,1536,16384,64.7167980670929
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,1536,16384,75.77599883079529
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,1536,16384,75.44320225715637
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,1536,16384,4096,107.73119926452637
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,1536,16384,4096,121.44639492034912
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,1536,16384,4096,82.12479948997498
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,1536,16384,4096,86.83519959449768
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,1536,16384,4096,74.14399981498718
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,1536,16384,4096,80.07680177688599
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,1536,16384,4096,78.0351996421814
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,1536,16384,4096,77.81760096549988
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,8192,7168,212.5823974609375
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,8192,7168,235.52000522613525
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,8192,7168,144.58880424499512
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,8192,7168,157.2864055633545
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,8192,7168,138.0352020263672
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,8192,7168,146.63679599761963
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,8192,7168,130.25280237197876
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,8192,7168,140.90240001678467
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,7168,8192,210.94400882720947
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,7168,8192,235.92960834503174
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,7168,8192,143.76959800720215
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,7168,8192,153.60640287399292
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,7168,8192,137.6255989074707
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,7168,8192,147.0463991165161
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,7168,8192,139.26399946212769
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,7168,8192,138.44480514526367
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,7168,8192,4096,222.41919040679932
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,7168,8192,4096,256.81920051574707
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,7168,8192,4096,158.52160453796387
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,7168,8192,4096,179.8143982887268
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,7168,8192,4096,153.1775951385498
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,7168,8192,4096,167.11679697036743
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,7168,8192,4096,156.4479947090149
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,7168,8192,4096,162.19520568847656
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,8192,1536,74.9567985534668
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,8192,1536,75.97439885139465
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,8192,1536,59.807997941970825
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,8192,1536,61.85600161552429
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,8192,1536,56.992000341415405
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,8192,1536,58.982402086257935
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,8192,1536,56.11519813537598
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,8192,1536,61.849600076675415
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,1536,8192,59.801602363586426
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,1536,8192,62.668800354003906
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,1536,8192,41.574400663375854
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,1536,8192,42.399999499320984
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,1536,8192,39.32160139083862
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,1536,8192,39.52639997005463
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,1536,8192,45.56159973144531
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,1536,8192,45.74719965457916
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,1536,8192,4096,62.463998794555664
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,1536,8192,4096,67.98719763755798
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,1536,8192,4096,47.513601183891296
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,1536,8192,4096,48.742398619651794
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,1536,8192,4096,45.049598813056946
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,1536,8192,4096,45.2672004699707
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,1536,8192,4096,43.41759979724884
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,1536,8192,4096,43.513599038124084
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,4096,192,25.190401077270508
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,4096,192,27.44320034980774
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,4096,192,23.545600473880768
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,4096,192,24.57599937915802
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,4096,192,24.582399427890778
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,4096,192,27.027198672294617
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,4096,192,25.600001215934753
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,4096,192,24.985599517822266
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,192,4096,23.552000522613525
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,192,4096,24.160000681877136
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,192,4096,23.136000335216522
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,192,4096,23.96160066127777
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,192,4096,24.166400730609894
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,192,4096,24.780799448490143
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,192,4096,24.371199309825897
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,192,4096,24.377599358558655
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,192,4096,4096,23.75040054321289
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,192,4096,4096,24.166400730609894
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,192,4096,4096,24.172799289226532
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,192,4096,4096,23.955200612545013
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,192,4096,4096,24.166400730609894
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,192,4096,4096,23.96160066127777
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,192,4096,4096,24.780799448490143
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,192,4096,4096,23.96160066127777
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,16384,4096,249.04320240020752
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,16384,4096,285.4912042617798
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,16384,4096,184.72959995269775
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,16384,4096,197.8368043899536
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,16384,4096,175.71840286254883
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,16384,4096,181.4527988433838
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,16384,4096,167.52640008926392
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,2,4096,16384,4096,184.31999683380127
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,1,4096,4096,16384,225.27999877929688
e2m1,fp32,fp32,e8m0,16,k,k,n,256,64,128,64,2,2,4096,4096,16384,247.37920761108398
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,1,4096,4096,16384,146.23359441757202
e2m1,fp32,fp32,e8m0,16,k,k,n,256,128,128,128,2,2,4096,4096,16384,158.515202999115
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,1,4096,4096,16384,140.49279689788818
e2m1,fp32,fp32,e8m0,16,k,k,n,256,192,128,192,2,2,4096,4096,16384,160.5631947517395
e2m1,fp32,fp32,e8m0,16,k,k,n,256,256,128,256,2,1,4096,4096,16384,143.5647964477539
